price,type,sqfeet,beds,baths,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,state,pets_allowed
595,2,897,2,1,1,0,0,0,0,4,28,0
685,3,750,1,1,1,0,0,0,1,4,25,1
1158,3,1596,3,2,0,0,0,0,3,4,29,1
685,3,750,1,1,1,0,0,0,1,5,25,1
775,3,1082,2,2,1,0,0,0,3,4,24,1
775,3,1082,2,2,1,0,0,0,3,4,24,1
775,3,1082,2,2,1,0,0,0,3,4,24,1
1760,3,1311,3,2,1,0,0,0,4,2,20,1
915,3,781,2,1,1,0,0,0,1,4,23,1
599,3,700,1,1,0,0,0,0,1,4,25,1
1000,3,953,2,2,1,0,0,0,1,4,12,1
710,2,1160,2,2,1,0,0,0,3,4,36,1
710,2,1160,2,2,1,0,0,0,3,4,36,1
990,3,1059,2,2,0,0,0,0,4,4,29,1
915,3,1040,2,1,1,1,0,0,0,0,23,1
475,3,700,1,1,1,0,0,0,3,2,24,0
